Dpto,2020
Amazonas,79020
Antioquia,6677930
Arauca,294206
Archipiélago de San Andrés Providencia y Santa Catalina,63692
Atlántico,1447878
Barranquilla D.E.,1274250
Bogotá D.C.,7743955
Bolívar,1152240
Cartagena D.T. y C.,1028736
Boyacá,1242731
Caldas,1018453
Caquetá,410521
Casanare,435195
Cauca,1491937
Cesar,1295387
Chocó,544764
Córdoba,1828947
Cundinamarca,3242999
Guainía,50636
Guaviare,86657
Huila,1122622
La Guajira,965718
Magdalena,888414
Santa Marta D.T. y C.,538612
Meta,1063454
Nariño,1627589
Norte de Santander,1620318
Putumayo,359127
Quindío,555401
Risaralda,961055
Santander,2280908
Sucre,949252
Tolima,1339998
Valle del Cauca,4220325
Buenaventura D.E.,311827
Vaupés,44712
Vichada,112958
Total,50372424
